Date,Close,High,Low,Open,Volume
2020-04-01,145.59646606445312,150.99495384595014,144.36171185398587,146.4483546017773,57969900
2020-04-02,148.61155700683594,148.82213748544504,143.92138730411529,145.35715532805682,49630700
2020-04-03,147.2427978515625,150.64078508097487,145.67302540319514,148.45841886264432,41243300
2020-04-06,158.19293212890625,159.37025787232824,150.83222538941226,153.45490035648226,67111700
2020-04-07,156.4891357421875,162.72036321684644,156.26897414666294,162.32791648261895,62769000
2020-04-08,158.05892944335938,159.5329782713047,156.49872342902765,158.57579953473572,48318200
2020-04-09,158.06849670410156,160.20300120701708,156.33600551975834,159.23625593654953,51385100
2020-04-13,158.42263793945312,158.48008092873175,155.35010255817997,157.31232177165464,41905300
2020-04-14,166.26194763183594,166.30980949089667,160.80603162285263,161.76321038251245,52874300
2020-04-15,164.51992797851562,166.137562793765,161.9929760521155,163.86903867643187,40940800
2020-04-16,169.45889282226562,169.68862094407544,165.49617400471112,166.83623280718882,50479600
2020-04-17,170.95213317871094,172.29217760683073,168.33902463579403,171.81358822458955,52765600
2020-04-20,167.563720703125,171.09571286072054,167.49672578100314,169.06649845044674,36669600
2020-04-21,160.6337432861328,166.23323015638763,158.99696121305,166.07051152310385,56203700
2020-04-22,166.0896453857422,166.54908705362305,163.5052659215048,164.0508501636032,34620200
2020-04-23,164.07957458496094,167.56370454484113,163.59141869523893,166.65438768105864,32790800
2020-04-24,167.07554626464844,167.08511279378087,163.39998353425372,164.69216602575494,34277600
2020-04-27,166.59695434570312,169.3249048560136,165.87907032634968,169.02818179820954,33194400
2020-04-28,162.5385284423828,168.1475967515049,162.13651510211812,168.0710206954465,34392700
2020-04-29,169.83221435546875,170.07150903698547,164.5198841101079,165.8025000977444,51286600
2020-04-30,171.53599548339844,172.67502582955896,168.68359253746573,172.2921602045926,53875900
2020-05-01,167.09471130371094,170.99042145235236,166.55867890340767,168.27203714649573,39370500
2020-05-04,171.18182373046875,171.3349758174979,166.35764983214517,167.01810542774493,30372900
2020-05-05,173.01962280273438,175.78586876142296,172.19644850678958,172.88561836411026,36839200
2020-05-06,174.72340393066406,176.31232417307075,173.85238236161905,174.28310988132503,32139300
2020-05-07,175.73800659179688,176.6473233913739,174.76168027590157,176.28359082938823,28316000
2020-05-08,176.77175903320312,177.0780632342487,175.5082907173606,177.0589155703363,30877800
2020-05-11,178.74354553222656,179.48056257343904,175.0201211851634,175.3072630945256,30892700
2020-05-12,174.69471740722656,179.03073669615765,174.49371801537444,178.80102310546954,32038200
