Date,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,SMA_5_10_cross,SMA_10_20_cross,SMA_50_200_cross,Price_to_SMA_50,Price_to_SMA_200,Volatility_10,Volatility_20,Volatility_50,Daily_Range,Gap,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,Close_Lag_10,Return_Lag_10,Return_5d,Return_10d,Return_20d,Volume_SMA_5,Volume_SMA_20,Volume_Ratio,Price_Volume_Ratio,Momentum_5,Momentum_10,Momentum_20,Month,Day_of_week,Quarter,Month_sin,Month_cos,Weekday_sin,Weekday_cos
2020-04-01,6.054443359375,6.054443359375,6.054443359375,6.054443359375,6.054443359375,-1,-1,-1,1.0,1.0,6.8068756388355975,6.8068756388355975,6.8068756388355975,7.920984065040697,0.4813335038441318,6.054443359375,6.054443359375,0.0,0.0,0.0,51.753025578089755,6.054443359375,0.21839822548769114,6.645670676591838,5.7720777746410725,0.14070069230046764,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,9.824347125892174,21.24079946520021,20.245185352736005,656912000.0,656912000.0,1.0,3977236496.09375,0.09824347125892174,0.2124079946520021,0.20245185352736006,4,2,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473
2020-04-02,6.208874225616455,6.208874225616455,6.208874225616455,6.208874225616455,6.208874225616455,-1,-1,-1,1.0248726034108255,1.0248726034108255,6.8068756388355975,6.8068756388355975,6.8068756388355975,5.6051404076934315,0.4813335038441318,6.101960548987756,6.077322006225586,0.024638542762169813,0.0049277085524339626,0.01971083420973585,51.753025578089755,6.208874225616455,0.21839822548769114,6.645670676591838,5.7720777746410725,0.14070069230046764,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,9.824347125892174,21.24079946520021,20.245185352736005,666338000.0,666338000.0,1.0141459739651648,4300092502.094269,0.09824347125892174,0.2124079946520021,0.20245185352736006,4,3,2,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475
2020-04-03,6.164371967315674,6.164371967315674,6.164371967315674,6.164371967315674,6.164371967315674,-1,-1,-1,0.9855614623722455,0.9855614623722455,6.8068756388355975,6.8068756388355975,6.8068756388355975,6.788466804427977,-0.5910466599727247,6.097869303099502,6.077177224335847,0.02069207876365553,0.008080582594678276,0.012611496168977254,51.753025578089755,6.164371967315674,0.17259850934957274,6.509568986014819,5.819174948616529,0.11199746560701591,6.36330509185791,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,9.824347125892174,21.24079946520021,20.245185352736005,665296000.0,665296000.0,0.9968675597027489,4029256597.723007,0.09824347125892174,0.2124079946520021,0.20245185352736006,4,4,2,0.8660254037844387,-0.4999999999999998,-0.9510565162951536,0.30901699437494723
2020-04-06,6.2946213483810425,6.2946213483810425,6.2946213483810425,6.2946213483810425,6.2946213483810425,-1,-1,-1,1.0620765128781902,1.0620765128781902,7.407403279961819,7.407403279961819,7.407403279961819,6.640814884134399,4.645146397808364,6.188253947480678,6.122228503390758,0.06602544408992017,0.019669554893726657,0.04635588919619352,76.14042893166949,6.2946213483810425,0.2961752330824487,6.88697181454594,5.702270882216145,0.18820845079656723,6.075367450714111,-4.524969917161847,6.36330509185791,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,9.824347125892174,21.24079946520021,20.245185352736005,680943000.0,680943000.0,1.0689352853322525,4866173487.007141,0.09824347125892174,0.2124079946520021,0.20245185352736006,4,0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
2020-04-07,6.32609281539917,6.32609281539917,6.32609281539917,6.32609281539917,6.32609281539917,-1,-1,-1,1.0198994658703195,1.0198994658703195,6.995372089349317,6.995372089349317,6.995372089349317,7.554999117515926,3.315934345769743,6.228826983786987,6.146654442656011,0.0821725411309755,0.032170152141176425,0.05000238898979907,63.80146753536567,6.32609281539917,0.26597385717387256,6.858040529746915,5.794145101051424,0.16817575393546602,6.685369491577148,10.040578546262857,6.075367450714111,-4.524969917161847,6.36330509185791,5.10140592866648,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,9.824347125892174,21.24079946520021,20.245185352736005,701658400.0,701658400.0,1.1180939328881405,5061706316.757202,0.09824347125892174,0.2124079946520021,0.20245185352736006,4,1,2,0.8660254037844387,-0.4999999999999998,0.9510565162951535,0.30901699437494745
2020-04-08,6.445054721832276,6.3799528280893965,6.3799528280893965,6.3799528280893965,6.3799528280893965,1,-1,-1,1.0422103533846625,1.0422103533846625,6.08499008077425,6.08499008077425,6.08499008077425,2.7903292260035473,1.690939222933568,6.293507892672147,6.183883957388198,0.10962393528394898,0.047660908769730934,0.06196302651421805,68.16249545721395,6.3799528280893965,0.2720277191058038,6.924008266301004,5.835897389877789,0.1705515551200512,6.45197868347168,-3.491068195998981,6.685369491577148,10.040578546262857,6.075367450714111,-4.524969917161847,6.054443359375,5.10140592866648,6.054443359375,5.10140592866648,9.824347125892174,21.24079946520021,20.245185352736005,678764800.0,675122666.6666666,0.8034747265682088,3606847335.49881,0.09824347125892174,0.2124079946520021,0.20245185352736006,4,2,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473
2020-04-09,6.482317543029785,6.404190880911691,6.404190880911691,6.404190880911691,6.404190880911691,1,-1,-1,1.0227083045521381,1.0227083045521381,5.630677910894745,5.630677910894745,5.630677910894745,4.595588106391343,1.8917307604542424,6.33290963192958,6.210975456681328,0.1219341752482519,0.06251556206543513,0.05941861318281677,64.25294464972606,6.404190880911691,0.25647277126542994,6.9171364234425505,5.891245338380831,0.16019058521810875,6.649252891540527,3.057576872877976,6.45197868347168,-3.491068195998981,6.685369491577148,10.040578546262857,6.36330509185791,5.10140592866648,6.054443359375,5.10140592866648,2.9279455141314026,21.24079946520021,20.245185352736005,648724800.0,653757142.8571428,0.8039132049909316,3442244064.096451,0.029279455141314026,0.2124079946520021,0.20245185352736006,4,3,2,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475
2020-04-13,6.6115411758422855,6.443852722644806,6.443852722644806,6.443852722644806,6.443852722644806,1,-1,-1,1.0430849220305975,1.0430849220305975,5.159282665907601,5.159282665907601,5.159282665907601,5.066204871861013,-0.9127276318926021,6.3926905523675845,6.2487910239476445,0.14389952841994003,0.0787923553363361,0.06510717308360392,67.47129247615709,6.443852722644806,0.2626135534051419,6.96907982945509,5.918625615834522,0.16301648390086446,6.549619197845459,-1.4984193761351294,6.649252891540527,3.057576872877976,6.45197868347168,-3.491068195998981,6.075367450714111,-4.524969917161847,6.054443359375,5.10140592866648,10.635046675021353,21.24079946520021,20.245185352736005,595764000.0,621838500.0,0.6406936849358796,2677893640.81192,0.10635046675021353,0.2124079946520021,0.20245185352736006,4,0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
2020-04-14,6.6890058517456055,6.513723850250244,6.513723850250244,6.513723850250244,6.513723850250244,1,-1,-1,1.0858140494890693,1.0858140494890693,4.944107811300895,4.944107811300895,4.944107811300895,4.156362360174016,1.9084836954434592,6.497306293710071,6.309820790402912,0.18748550330715918,0.10053098493050072,0.08695451837665846,72.52591178600181,6.513723850250244,0.3229286513825692,7.159581153015383,5.8678665474851055,0.19830662693516737,6.721485614776611,2.624067319634227,6.549619197845459,-1.4984193761351294,6.649252891540527,3.057576872877976,6.685369491577148,10.040578546262857,6.054443359375,5.10140592866648,5.793597197650602,21.24079946520021,20.245185352736005,556376800.0,611739555.5555556,0.8679314508570822,3755232134.5214844,0.05793597197650602,0.2124079946520021,0.20245185352736006,4,1,2,0.8660254037844387,-0.4999999999999998,0.9510565162951535,0.30901699437494745
2020-04-15,6.79765567779541,6.56187424659729,6.56187424659729,6.56187424659729,6.56187424659729,1,-1,-1,1.066041126488843,1.066041126488843,4.743377932826834,4.743377932826834,4.743377932826834,3.170994703667033,-2.37718652741682,6.573909604480938,6.360591681019045,0.2133179234618927,0.12308837263677913,0.09022955082511358,70.12253630070595,6.56187424659729,0.3404122943373398,7.24269883527197,5.88104965792261,0.20750918505569557,7.07269287109375,5.225143315713421,6.721485614776611,2.624067319634227,6.549619197845459,-1.4984193761351294,6.45197868347168,-3.491068195998981,6.054443359375,5.10140592866648,8.419884145629442,21.24079946520021,20.245185352736005,472702400.0,587180400.0,0.6235698603018766,2561288673.538208,0.08419884145629442,0.2124079946520021,0.20245185352736006,4,2,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473
