,SARIMAX,Gradient Boosting,XGBoost,LightGBM
2025-03-29,217.8131267426703,186.50282566260017,184.57735,185.85485412838477
2025-03-30,217.9217163860651,186.50282566260017,184.57735,185.85485412838477
2025-03-31,217.89035590865214,186.50282566260017,184.57735,185.85485412838477
2025-04-01,217.92280407597272,186.50282566260017,184.57735,185.85485412838477
2025-04-02,217.83930487200652,186.50282566260017,184.57735,185.85485412838477
2025-04-03,217.8376239636718,186.50282566260017,184.57735,185.85485412838477
2025-04-04,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-05,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-06,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-07,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-08,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-09,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-10,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-11,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-12,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-13,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-14,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-15,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-16,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-17,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-18,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-19,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-20,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-21,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-22,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-23,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-24,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-25,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-26,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
2025-04-27,217.83854658717328,186.50282566260017,184.57735,185.85485412838477
