Date,Close,High,Low,Open,Volume,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,SMA_5_10_cross,SMA_10_20_cross,SMA_50_200_cross,Price_to_SMA_50,Price_to_SMA_200,Volatility_10,Volatility_20,Volatility_50,Daily_Range,Gap,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,Close_Lag_10,Return_Lag_10,Return_5d,Return_10d,Return_20d,Volume_SMA_5,Volume_SMA_20,Volume_Ratio,Price_Volume_Ratio,Momentum_5,Momentum_10,Momentum_20,Month,Day_of_week,Quarter,Month_sin,Month_cos,Weekday_sin,Weekday_cos,Next_Close
2020-04-01,54.8427963256836,56.20229768361806,54.41434472078375,55.932587259759686,51970000,1.3546979802750325,54.8427963256836,54.8427963256836,54.8427963256836,54.8427963256836,54.8427963256836,-1,-1,-1,1.0,1.0,2.498069242754439,2.498069242754439,2.498069242754439,3.1966212371524625,-0.19053664252780259,54.8427963256836,54.8427963256836,0.0,0.0,0.0,38.02863653315555,54.8427963256836,0.5253479912211323,56.26496943520105,54.163577470316525,0.03805885387014055,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,9.518199921957105,14.094003426375012,22.193992923276596,51970000.0,51970000.0,1.0,2850180125.045777,0.09518199921957105,0.14094003426375012,0.22193992923276595,4,2,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,55.585750579833984
2020-04-02,55.585750579833984,55.87138374005283,54.3964368955584,54.73830070289628,56410000,1.3546979802750325,55.21427345275879,55.21427345275879,55.21427345275879,55.21427345275879,55.21427345275879,-1,-1,-1,1.006727918413941,1.006727918413941,2.498069242754439,2.498069242754439,2.498069242754439,2.694542624733661,-0.19053664252780259,54.95709698016828,54.897829974139185,0.059267006029095626,0.011853401205819125,0.0474136048232765,38.02863653315555,55.21427345275879,0.5253479912211323,56.26496943520105,54.163577470316525,0.03805885387014055,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,9.518199921957105,14.094003426375012,22.193992923276596,54190000.0,54190000.0,1.0409669680752907,3135592190.208435,0.09518199921957105,0.14094003426375012,0.22193992923276595,4,3,2,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,54.37503433227539
2020-04-03,54.37503433227539,55.6733278436525,53.49822958250269,55.47029994298398,51374000,-2.1781054225753826,54.93452707926432,54.93452707926432,54.93452707926432,54.93452707926432,54.93452707926432,-1,-1,-1,0.9898152805396568,0.9898152805396568,2.498069242754439,2.498069242754439,2.498069242754439,3.9211943389264565,-0.20769826015786683,54.86754888049246,54.859104371038164,0.00844450945429287,0.011171622855513874,-0.002727113401221004,38.02863653315555,54.93452707926432,0.6105484062627259,56.15562389178977,53.71343026673887,0.04445644214843417,55.585750579833984,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,9.518199921957105,14.094003426375012,22.193992923276596,53251333.333333336,53251333.333333336,0.9647457966623684,2793463013.786316,0.09518199921957105,0.14094003426375012,0.22193992923276595,4,4,2,0.8660254037844387,-0.4999999999999998,-0.9510565162951536,0.30901699437494723,58.87800979614258
2020-04-06,58.87800979614258,59.25420957181764,55.98235353914818,56.3804517940451,63320000,8.28132895760647,55.92039775848389,55.92039775848389,55.92039775848389,55.92039775848389,55.92039775848389,-1,-1,-1,1.0528896816941897,1.0528896816941897,5.320693628538938,5.320693628538938,5.320693628538938,5.803174555289808,3.688121738949145,55.48454286751556,55.156801069194046,0.3277417983215116,0.07448565794871342,0.2532561403727982,81.24852664969444,55.92039775848389,2.033783884496912,59.98796552747771,51.85282998949006,0.14547706854880946,54.37503433227539,-2.1781054225753826,55.585750579833984,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,9.518199921957105,14.094003426375012,22.193992923276596,55768500.0,55768500.0,1.1354079812080295,3728155580.291748,0.09518199921957105,0.14094003426375012,0.22193992923276595,4,0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0,58.84665298461914
2020-04-07,58.84665298461914,60.74856308077166,58.58241717885874,60.56095675968012,61620000,-0.053257254503003004,56.50564880371094,56.50564880371094,56.50564880371094,56.50564880371094,56.50564880371094,-1,-1,-1,1.0414295602381343,1.0414295602381343,4.526048029096262,4.526048029096262,4.526048029096262,3.5768026428457653,2.8583625183061097,56.00179057783919,55.430123433299606,0.5716671445395818,0.1739219552668871,0.39774518927269464,80.85584883739386,56.50564880371094,2.1942656166303767,60.89418003697169,52.11711757045019,0.15533070856351403,58.87800979614258,8.28132895760647,54.37503433227539,-2.1781054225753826,55.585750579833984,1.3546979802750325,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,9.518199921957105,14.094003426375012,22.193992923276596,56938800.0,56938800.0,1.0822145882948007,3626130756.9122314,0.09518199921957105,0.14094003426375012,0.22193992923276595,4,1,2,0.8660254037844387,-0.4999999999999998,0.9510565162951535,0.30901699437494745,60.06284332275391
2020-04-08,60.06284332275391,60.45596430381323,58.915826954161616,59.868771468332326,40334000,2.066711149150069,57.549658203125,57.098514556884766,57.098514556884766,57.098514556884766,57.098514556884766,1,-1,-1,1.051916040003386,1.051916040003386,3.9208576877907158,3.9208576877907158,3.9208576877907158,2.572522054283799,1.7369186383129367,56.626567923210686,55.77328786955548,0.8532800536552045,0.3097935749445506,0.5434864787106539,83.87796047549821,57.098514556884766,2.4414708855071896,61.981456327899146,52.215572785870386,0.1710356848653118,58.84665298461914,-0.053257254503003004,58.87800979614258,8.28132895760647,54.37503433227539,-2.1781054225753826,54.8427963256836,1.3546979802750325,54.8427963256836,1.3546979802750325,9.518199921957105,14.094003426375012,22.193992923276596,54611600.0,54171333.333333336,0.7445635452945593,2422574722.5799565,0.09518199921957105,0.14094003426375012,0.22193992923276595,4,2,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,60.04143905639648
2020-04-09,60.04143905639648,60.80877033274802,59.337305082673424,60.61917842486261,54028000,-0.035636452044762734,58.4407958984375,57.5189323425293,57.5189323425293,57.5189323425293,57.5189323425293,1,-1,-1,1.0438552422851919,1.0438552422851919,3.594337179674883,3.594337179674883,3.594337179674883,2.427392268106163,0.9262550211270768,57.151932712931576,56.089447216728885,1.0624854962026902,0.46033195919617853,0.6021535370065116,83.6455711703276,57.5189323425293,2.4908983396999167,62.50072902192913,52.53713566312946,0.17322284946921077,60.06284332275391,2.066711149150069,58.84665298461914,-0.053257254503003004,58.87800979614258,8.28132895760647,55.585750579833984,1.3546979802750325,54.8427963256836,1.3546979802750325,8.015882541989061,14.094003426375012,22.193992923276596,54135200.0,54150857.14285714,0.9977312059431852,3243918869.338989,0.08015882541989061,0.14094003426375012,0.22193992923276595,4,3,2,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,60.2325325012207
2020-04-13,60.2325325012207,60.43705624337838,58.83521365989364,59.78915284931368,38702000,0.31826926174227665,59.61229553222656,57.85813236236572,57.85813236236572,57.85813236236572,57.85813236236572,1,-1,-1,1.0410383128854575,1.0410383128854575,3.315240829609304,3.315240829609304,3.315240829609304,2.6791525003236885,-0.4201868093898055,57.62587114189913,56.39634242298754,1.2295287189115953,0.6141713111392619,0.6153574077723334,84.04033512053348,57.85813236236572,2.4977309653224,62.853594293010524,52.86267043172092,0.17267968137506418,60.04143905639648,-0.035636452044762734,60.06284332275391,2.066711149150069,58.84665298461914,-0.053257254503003004,54.37503433227539,-2.1781054225753826,54.8427963256836,1.3546979802750325,10.772403623970629,14.094003426375012,22.193992923276596,51600800.0,52219750.0,0.7411372134106349,2331119472.8622437,0.10772403623970628,0.14094003426375012,0.22193992923276595,4,0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0,62.96049118041992
2020-04-14,62.96049118041992,63.48398554877324,61.13471691802692,61.70350028621407,63358000,4.52904529482292,60.42879180908203,58.4250611199273,58.4250611199273,58.4250611199273,58.4250611199273,1,-1,-1,1.0776281611615757,1.0776281611615757,3.263390104366945,3.263390104366945,3.263390104366945,3.807350668680301,2.4421483273404756,58.44658191705618,56.882575664278825,1.5640062527773537,0.8041382994668803,0.7598679533104734,88.1303999274663,58.4250611199273,2.8898964382122587,64.20485399635182,52.645268243502784,0.19785320770347214,60.2325325012207,0.31826926174227665,60.04143905639648,-0.035636452044762734,60.06284332275391,2.066711149150069,58.87800979614258,8.28132895760647,54.8427963256836,1.3546979802750325,6.933796502993905,14.094003426375012,22.193992923276596,51608400.0,53457333.333333336,1.1852068939715161,3989050800.2090454,0.06933796502993905,0.14094003426375012,0.22193992923276595,4,1,2,0.8660254037844387,-0.4999999999999998,0.9510565162951535,0.30901699437494745,62.56587600708008
2020-04-15,62.56587600708008,63.45213792906103,61.40641842523156,62.028941883647406,42236000,-0.6267663513123356,61.17263641357422,58.839142608642575,58.839142608642575,58.839142608642575,58.839142608642575,1,-1,-1,1.0633376564173473,1.0633376564173473,3.1567381826544225,3.1567381826544225,3.1567381826544225,3.298008061570343,-1.4795775561900615,59.080319469367545,57.3035608748567,1.776758594510845,0.9986623584756733,0.7780962360351718,84.98004580014967,58.839142608642575,3.0229441962988974,64.88503100124036,52.79325421604478,0.20550565914295776,62.96049118041992,4.52904529482292,60.2325325012207,0.31826926174227665,60.04143905639648,-0.035636452044762734,58.84665298461914,-0.053257254503003004,54.8427963256836,1.3546979802750325,6.320194664993162,14.094003426375012,22.193992923276596,47731600.0,52335200.0,0.8070285391094331,2642532339.035034,0.06320194664993162,0.14094003426375012,0.22193992923276595,4,2,2,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,62.57234191894531
2020-04-16,62.57234191894531,63.36505315378879,61.61541867517127,63.05553213901334,57896000,0.010334566185088434,61.6745361328125,59.61209716796875,59.17852436412465,59.17852436412465,59.17852436412465,1,1,-1,1.057348803324979,1.057348803324979,3.0141148495816354,3.0141148495816354,3.0141148495816354,2.77475174543012,0.7826249118254951,59.6175536923795,57.693840952196595,1.923712740182907,1.1836724348171201,0.7400403053657869,84.98883812939195,59.17852436412465,3.0808038217384848,65.34013200760162,53.01691672064768,0.20823796164854283,62.56587600708008,-0.6267663513123356,62.96049118041992,4.52904529482292,60.2325325012207,0.31826926174227665,60.06284332275391,2.066711149150069,54.8427963256836,1.3546979802750325,4.178121542975166,14.094003426375012,22.193992923276596,51244000.0,52840727.27272727,1.0956700066064744,3622688307.739258,0.04178121542975166,0.14094003426375012,0.22193992923276595,4,3,2,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,63.64571380615234
